id,podcast,code,title,phase,topic,people,places,battles,duration,priority,apple_url,summary
ep_ser_mesopotamia_2024,SER Historia,,SER Historia | Mesopotamia,Primeras Civilizaciones,Mesopotamia,,Mesopotamia,,59 min,3,https://podcasts.apple.com/es/podcast/ser-historia-mesopotamia/id356329864?i=1000667929869,Episodio general sobre Mesopotamia.
ep_ser_egipto_2025,SER Historia,,SER Historia | Egipto,Primeras Civilizaciones,Egipto,,Egipto,,,3,https://podcasts.apple.com/es/podcast/ser-historia-egipto/id356329864?i=1000721337578,Entrada general sobre Egipto antiguo.
ep_histocast_340,HistoCast,HC340,HistoCast 340 - Tartessos,Primeras Civilizaciones,Tartessos,Argantonio,Guadalquivir,,5 h 13 min,3,https://podcasts.apple.com/es/podcast/histocast-340-tartessos/id500148829?i=1000767088074,Monográfico sobre Tartessos.
ep_histocast_329,HistoCast,HC329,HistoCast 329 - Esparta,Grecia,Esparta,Leónidas,Esparta,Termópilas,5 h 59 min,3,https://podcasts.apple.com/es/podcast/histocast-329-esparta/id500148829?i=1000740105347,Episodio de referencia sobre Esparta.
ep_histocast_38,HistoCast,HC38,HistoCast 38 - Alejandro y Afganistan,Grecia,Alejandro Magno,Alejandro Magno,Bactria,,2 h 41 min,2,https://podcasts.apple.com/es/podcast/histocast-38-alejandro-y-afganistan/id500148829?i=1000335690071,Campañas orientales de Alejandro.
ep_histocast_15,HistoCast,HC15,"HistoCast 15 - Amílcar Barca, el 'León de Cartago'",Roma,Cartago,Amílcar Barca; Aníbal Barca,Cartago,,1 h 52 min,3,https://podcasts.apple.com/es/podcast/histocast-15-am%C3%ADlcar-barca-el-le%C3%B3n-de-cartago/id500148829?i=1000335690098,Amílcar Barca y el contexto previo a Aníbal.
ep_histocast_54,HistoCast,HC54,HistoCast 54 - Aníbal Barca y la II Guerra Púnica,Roma,Aníbal Barca,Aníbal Barca; Escipión el Africano; Amílcar Barca,Cartago; Roma,Trebia; Trasimeno; Cannas; Zama,2 h 37 min,3,https://podcasts.apple.com/es/podcast/histocast-54-an%C3%ADbal-barca-y-la-ii-guerra-p%C3%BAnica/id500148829?i=1000335689797,Episodio central sobre Aníbal y la Segunda Guerra Púnica.
ep_roma_aeterna_p193,Roma Aeterna,P193,La huida de Aníbal – P193 – República 105,Roma,Aníbal Barca,Aníbal Barca,Cartago; Roma,,47 min,2,https://podcasts.apple.com/es/podcast/la-huida-de-an%C3%ADbal-p193-rep%C3%BAblica-105/id1793375747?i=1000763000038,Complemento sobre Aníbal dentro del ciclo de Roma Aeterna.
ep_ser_seneca_2025,SER Historia,,SER Historia | Bajo la atenta mirada de Séneca,Roma,Séneca,Séneca,Roma,,1 h 24 min,2,https://podcasts.apple.com/es/podcast/ser-historia-bajo-la-atenta-mirada-de-s%C3%A9neca/id356329864?i=1000707907034,Complemento sobre Séneca y la cultura romana.
